chr	start	end	sample	ref_A	ref_T	ref_AT	ref_CpG	read_depth	A_denom	AT_denom	CpG_denom	bin_bp_denom	m6A_count	mCG_count_raw	mCG_count	MSP_bp	nuc_bp	mCG_PASS_n	mCG_EDGE_plus2_n	mCG_FAIL_excess_n	m6A_per_A	m6A_per_AT	mCG_per_CpG	MSP_fraction	nuc_fraction
chr9	47672770	47677770	PAN027Pat_iPSC	1521	1625	3146	70	2	3042	6292	140	10000	56	136	136	1336	35482	2	0	0	0.018409	0.008900	0.971429	0.133600	3.548200
chr9	45972770	45977770	PAN027Pat_iPSC	1504	1623	3127	65	4	6016	12508	260	20000	707	229	229	16908	83068	4	0	0	0.117520	0.056524	0.880769	0.845400	4.153400
chr9	47232770	47237770	PAN027Pat_iPSC	1509	1624	3133	67	5	7545	15665	335	25000	164	307	307	8505	165980	5	0	0	0.021736	0.010469	0.916418	0.340200	6.639200
chr9	46277770	46282770	PAN027Pat_iPSC	1508	1623	3131	67	3	4524	9393	201	15000	155	188	188	3900	57126	3	0	0	0.034262	0.016502	0.935323	0.260000	3.808400
chr9	46682770	46687770	PAN027Pat_iPSC	1497	1628	3125	73	3	4491	9375	219	15000	94	187	187	4731	68844	3	0	0	0.020931	0.010027	0.853881	0.315400	4.589600
chr9	47937770	47942770	PAN027Pat_iPSC	1525	1617	3142	64	7	10675	21994	448	35000	348	409	409	19572	247233	7	0	0	0.032600	0.015822	0.912946	0.559200	7.063800
chr9	45372770	45377770	PAN027Pat_iPSC	1503	1622	3125	71	5	7515	15625	355	25000	506	299	299	17740	153980	5	0	0	0.067332	0.032384	0.842254	0.709600	6.159200
chr9	47392770	47397770	PAN027Pat_iPSC	1505	1628	3133	68	10	15050	31330	680	50000	202	648	648	12960	504610	10	0	0	0.013422	0.006447	0.952941	0.259200	10.092200
chr9	47902770	47907770	PAN027Pat_iPSC	1526	1618	3144	67	7	10682	22008	469	35000	381	405	405	19502	271635	7	0	0	0.035667	0.017312	0.863539	0.557200	7.761000
chr9	46082770	46087770	PAN027Pat_iPSC	1520	1615	3135	63	9	13680	28215	567	45000	1274	491	491	74592	376083	9	0	0	0.093129	0.045153	0.865961	1.657600	8.357400
chr9	45637770	45642770	PAN027Pat_iPSC	1522	1611	3133	66	4	6088	12532	264	20000	124	255	255	5792	109848	4	0	0	0.020368	0.009895	0.965909	0.289600	5.492400
chr9	46797770	46802770	PAN027Pat_iPSC	1506	1617	3123	72	7	10542	21861	504	35000	451	465	465	20538	224462	7	0	0	0.042781	0.020630	0.922619	0.586800	6.413200
chr9	47302770	47307770	PAN027Pat_iPSC	1487	1626	3113	71	1	1487	3113	71	5000	9	70	70	200	12714	1	0	0	0.006052	0.002891	0.985915	0.040000	2.542800
chr9	45602770	45607770	PAN027Pat_iPSC	1507	1621	3128	68	4	6028	12512	272	20000	177	246	246	5604	88396	4	0	0	0.029363	0.014146	0.904412	0.280200	4.419800
chr9	46347770	46352770	PAN027Pat_iPSC	1509	1631	3140	63	8	12072	25120	504	40000	481	463	463	25864	316600	8	0	0	0.039844	0.019148	0.918651	0.646600	7.915000
chr9	46752770	46757770	PAN027Pat_iPSC	1510	1622	3132	72	5	7550	15660	360	25000	97	358	358	3405	126940	5	0	0	0.012848	0.006194	0.994444	0.136200	5.077600
chr9	46197770	46202770	PAN027Pat_iPSC	1508	1616	3124	70	6	9048	18744	420	30000	648	369	369	34746	194616	6	0	0	0.071618	0.034571	0.878571	1.158200	6.487200
chr9	46312770	46317770	PAN027Pat_iPSC	1514	1620	3134	67	6	9084	18804	402	30000	168	306	306	8856	165354	6	0	0	0.018494	0.008934	0.761194	0.295200	5.511800
chr9	47057770	47062770	PAN027Pat_iPSC	1510	1615	3125	70	1	1510	3125	70	5000	24	69	69	238	13236	1	0	0	0.015894	0.007680	0.985714	0.047600	2.647200
chr9	47462770	47467770	PAN027Pat_iPSC	1525	1616	3141	66	6	9150	18846	396	30000	100	386	386	5760	230892	6	0	0	0.010929	0.005306	0.974747	0.192000	7.696400
chr9	45707770	45712770	PAN027Pat_iPSC	1523	1619	3142	65	7	10661	21994	455	35000	254	410	410	13741	249102	7	0	0	0.023825	0.011549	0.901099	0.392600	7.117200
chr9	47727770	47732770	PAN027Pat_iPSC	1524	1612	3136	71	7	10668	21952	497	35000	198	490	490	14364	258181	7	0	0	0.018560	0.009020	0.985915	0.410400	7.376600
chr9	46417770	46422770	PAN027Pat_iPSC	1508	1620	3128	71	2	3016	6256	142	10000	89	131	131	1438	27952	2	0	0	0.029509	0.014226	0.922535	0.143800	2.795200
chr9	46822770	46827770	PAN027Pat_iPSC	1496	1630	3126	73	2	2992	6252	146	10000	63	140	140	1498	43888	2	0	0	0.021056	0.010077	0.958904	0.149800	4.388800
chr9	45867770	45872770	PAN027Pat_iPSC	1504	1617	3121	73	4	6016	12484	292	20000	671	260	260	19944	78744	4	0	0	0.111536	0.053749	0.890411	0.997200	3.937200
chr9	47127770	47132770	PAN027Pat_iPSC	1500	1621	3121	69	4	6000	12484	276	20000	90	249	249	6972	109864	4	0	0	0.015000	0.007209	0.902174	0.348600	5.493200
chr9	45427770	45432770	PAN027Pat_iPSC	1509	1621	3130	68	4	6036	12520	272	20000	107	246	246	5676	95852	4	0	0	0.017727	0.008546	0.904412	0.283800	4.792600
chr9	47532770	47537770	PAN027Pat_iPSC	1510	1639	3149	65	7	10570	22043	455	35000	106	428	428	10983	302267	7	0	0	0.010028	0.004809	0.940659	0.313800	8.636200
chr9	45832770	45837770	PAN027Pat_iPSC	1510	1620	3130	67	3	4530	9390	201	15000	121	196	196	2478	41448	3	0	0	0.026711	0.012886	0.975124	0.165200	2.763200
chr9	46577770	46582770	PAN027Pat_iPSC	1524	1625	3149	64	7	10668	22043	448	35000	431	426	426	27951	269052	7	0	0	0.040401	0.019553	0.950893	0.798600	7.687200
chr9	46982770	46987770	PAN027Pat_iPSC	1512	1620	3132	66	3	4536	9396	198	15000	139	153	153	3888	60144	3	0	0	0.030644	0.014794	0.772727	0.259200	4.009600
chr9	46137770	46142770	PAN027Pat_iPSC	1516	1617	3133	70	6	9096	18798	420	30000	340	358	358	17574	154950	6	0	0	0.037379	0.018087	0.852381	0.585800	5.165000
chr9	46542770	46547770	PAN027Pat_iPSC	1509	1619	3128	71	2	3018	6256	142	10000	46	134	134	1754	35110	2	0	0	0.015242	0.007353	0.943662	0.175400	3.511000
chr9	47287770	47292770	PAN027Pat_iPSC	1514	1621	3135	74	7	10598	21945	518	35000	128	486	486	6769	270123	7	0	0	0.012078	0.005833	0.938224	0.193400	7.717800
chr9	47692770	47697770	PAN027Pat_iPSC	1518	1624	3142	68	7	10626	21994	476	35000	206	455	455	8449	245301	7	0	0	0.019386	0.009366	0.955882	0.241400	7.008600
chr9	45232770	45237770	PAN027Pat_iPSC	1501	1628	3129	61	6	9006	18774	366	30000	238	315	315	12786	203268	6	0	0	0.026427	0.012677	0.860656	0.426200	6.775600
chr9	45937770	45942770	PAN027Pat_iPSC	1502	1615	3117	72	10	15020	31170	720	50000	1432	524	524	82990	496360	10	0	0	0.095340	0.045942	0.727778	1.659800	9.927200
chr9	45392770	45397770	PAN027Pat_iPSC	1522	1621	3143	67	2	3044	6286	134	10000	163	133	133	3252	26948	2	0	0	0.053548	0.025931	0.992537	0.325200	2.694800
chr9	47092770	47097770	PAN027Pat_iPSC	1502	1638	3140	63	7	10514	21980	441	35000	421	393	393	22806	286517	7	0	0	0.040042	0.019154	0.891156	0.651600	8.186200
chr9	47602770	47607770	PAN027Pat_iPSC	1512	1630	3142	70	7	10584	21994	490	35000	426	398	398	26180	224441	7	0	0	0.040249	0.019369	0.812245	0.748000	6.412600
chr9	45902770	45907770	PAN027Pat_iPSC	1503	1622	3125	69	5	7515	15625	345	25000	141	319	319	10905	197825	5	0	0	0.018762	0.009024	0.924638	0.436200	7.913000
chr9	46647770	46652770	PAN027Pat_iPSC	1511	1622	3133	71	5	7555	15665	355	25000	119	344	344	4105	123960	5	0	0	0.015751	0.007597	0.969014	0.164200	4.958400
chr9	46497770	46502770	PAN027Pat_iPSC	1509	1617	3126	69	5	7545	15630	345	25000	300	323	323	17420	174585	5	0	0	0.039761	0.019194	0.936232	0.696800	6.983400
chr9	46207770	46212770	PAN027Pat_iPSC	1502	1624	3126	69	8	12016	25008	552	40000	509	488	488	35168	297320	8	0	0	0.042360	0.020353	0.884058	0.879200	7.433000
chr9	46612770	46617770	PAN027Pat_iPSC	1514	1623	3137	73	5	7570	15685	365	25000	297	285	285	8525	94305	5	0	0	0.039234	0.018935	0.780822	0.341000	3.772200
chr9	47357770	47362770	PAN027Pat_iPSC	1517	1623	3140	66	4	6068	12560	264	20000	137	258	258	7160	131072	4	0	0	0.022577	0.010908	0.977273	0.358000	6.553600
chr9	45657770	45662770	PAN027Pat_iPSC	1505	1622	3127	63	3	4515	9381	189	15000	148	182	182	4434	65643	3	0	0	0.032780	0.015777	0.962963	0.295600	4.376200
chr9	47762770	47767770	PAN027Pat_iPSC	1519	1635	3154	62	4	6076	12616	248	20000	186	225	225	5752	108712	4	0	0	0.030612	0.014743	0.907258	0.287600	5.435600
chr9	45302770	45307770	PAN027Pat_iPSC	1517	1611	3128	62	6	9102	18768	372	30000	209	355	355	10956	199302	6	0	0	0.022962	0.011136	0.954301	0.365200	6.643400
chr9	47322770	47327770	PAN027Pat_iPSC	1510	1615	3125	75	6	9060	18750	450	30000	206	339	339	8640	192426	6	0	0	0.022737	0.010987	0.753333	0.288000	6.414200
chr9	46012770	46017770	PAN027Pat_iPSC	1506	1624	3130	68	4	6024	12520	272	20000	711	161	161	27460	85088	4	0	0	0.118028	0.056789	0.591912	1.373000	4.254400
chr9	45462770	45467770	PAN027Pat_iPSC	1510	1622	3132	66	9	13590	28188	594	45000	381	562	562	27522	421740	9	0	0	0.028035	0.013516	0.946128	0.611600	9.372000
chr9	46172770	46177770	PAN027Pat_iPSC	1515	1623	3138	74	1	1515	3138	74	5000	38	58	58	652	9601	1	0	0	0.025083	0.012110	0.783784	0.130400	1.920200
chr9	47427770	47432770	PAN027Pat_iPSC	1511	1621	3132	70	5	7555	15660	350	25000	138	338	338	7570	149790	5	0	0	0.018266	0.008812	0.965714	0.302800	5.991600
chr9	45727770	45732770	PAN027Pat_iPSC	1521	1619	3140	68	3	4563	9420	204	15000	104	203	203	3525	60462	3	0	0	0.022792	0.011040	0.995098	0.235000	4.030800
chr9	47832770	47837770	PAN027Pat_iPSC	1529	1616	3145	65	4	6116	12580	260	20000	238	255	255	8232	110100	4	0	0	0.038914	0.018919	0.980769	0.411600	5.505000
chr9	46877770	46882770	PAN027Pat_iPSC	1509	1612	3121	74	6	9054	18726	444	30000	185	427	427	6804	241860	6	0	0	0.020433	0.009879	0.961712	0.226800	8.062000
chr9	46437770	46442770	PAN027Pat_iPSC	1503	1619	3122	67	3	4509	9366	201	15000	29	199	199	1878	61077	3	0	0	0.006432	0.003096	0.990050	0.125200	4.071800
chr9	46842770	46847770	PAN027Pat_iPSC	1513	1618	3131	71	4	6052	12524	284	20000	92	269	269	2212	77796	4	0	0	0.015202	0.007346	0.947183	0.110600	3.889800
chr9	47587770	47592770	PAN027Pat_iPSC	1517	1629	3146	65	5	7585	15730	325	25000	320	303	303	15725	131905	5	0	0	0.042189	0.020343	0.932308	0.629000	5.276200
chr9	45887770	45892770	PAN027Pat_iPSC	1508	1625	3133	65	1	1508	3133	65	5000	10	57	57	160	11167	1	0	0	0.006631	0.003192	0.876923	0.032000	2.233400
chr9	45532770	45537770	PAN027Pat_iPSC	1508	1626	3134	70	4	6032	12536	280	20000	279	242	242	10664	71996	4	0	0	0.046253	0.022256	0.864286	0.533200	3.599800
chr9	47147770	47152770	PAN027Pat_iPSC	1508	1616	3124	72	10	15080	31240	720	50000	344	687	687	38670	568950	10	0	0	0.022812	0.011012	0.954167	0.773400	11.379000
chr9	47552770	47557770	PAN027Pat_iPSC	1513	1615	3128	60	7	10591	21896	420	35000	235	421	417	11088	250747	3	4	0	0.022189	0.010733	0.992857	0.316800	7.164200
chr9	46242770	46247770	PAN027Pat_iPSC	1506	1625	3131	68	10	15060	31310	680	50000	299	600	600	23110	497970	10	0	0	0.019854	0.009550	0.882353	0.462200	9.959400
chr9	45287770	45292770	PAN027Pat_iPSC	1522	1615	3137	63	10	15220	31370	630	50000	192	468	468	27130	419180	10	0	0	0.012615	0.006120	0.742857	0.542600	8.383600
chr9	45692770	45697770	PAN027Pat_iPSC	1507	1624	3131	66	6	9042	18786	396	30000	418	367	367	23334	272292	6	0	0	0.046229	0.022251	0.926768	0.777800	9.076400
chr9	46947770	46952770	PAN027Pat_iPSC	1506	1618	3124	70	6	9036	18744	420	30000	412	381	381	11466	178416	6	0	0	0.045595	0.021980	0.907143	0.382200	5.947200
chr9	45252770	45257770	PAN027Pat_iPSC	1517	1615	3132	66	7	10619	21924	462	35000	223	430	430	13419	231581	7	0	0	0.021000	0.010172	0.930736	0.383400	6.616600
chr9	46507770	46512770	PAN027Pat_iPSC	1517	1624	3141	67	8	12136	25128	536	40000	287	501	501	24832	313056	8	0	0	0.023649	0.011422	0.934701	0.620800	7.826400
chr9	46912770	46917770	PAN027Pat_iPSC	1509	1629	3138	69	4	6036	12552	276	20000	79	201	201	3256	64208	4	0	0	0.013088	0.006294	0.728261	0.162800	3.210400
chr9	47657770	47662770	PAN027Pat_iPSC	1523	1624	3147	68	5	7615	15735	340	25000	270	319	319	12360	112930	5	0	0	0.035456	0.017159	0.938235	0.494400	4.517200
chr9	45957770	45962770	PAN027Pat_iPSC	1509	1616	3125	73	4	6036	12500	292	20000	888	205	205	21500	77752	4	0	0	0.147117	0.071040	0.702055	1.075000	3.887600
chr9	47217770	47222770	PAN027Pat_iPSC	1517	1621	3138	66	4	6068	12552	264	20000	122	250	250	4412	97928	4	0	0	0.020105	0.009720	0.946970	0.220600	4.896400
chr9	47622770	47627770	PAN027Pat_iPSC	1514	1631	3145	66	8	12112	25160	528	40000	263	480	480	20032	368096	8	0	0	0.021714	0.010453	0.909091	0.500800	9.202400
chr9	46667770	46672770	PAN027Pat_iPSC	1510	1622	3132	73	5	7550	15660	365	25000	310	308	308	11035	113975	5	0	0	0.041060	0.019796	0.843836	0.441400	4.559000
chr9	45357770	45362770	PAN027Pat_iPSC	1509	1629	3138	67	3	4527	9414	201	15000	167	194	194	4566	69132	3	0	0	0.036890	0.017740	0.965174	0.304400	4.608800
chr9	45762770	45767770	PAN027Pat_iPSC	1514	1621	3135	69	5	7570	15675	345	25000	201	318	318	6430	149155	5	0	0	0.026552	0.012823	0.921739	0.257200	5.966200
chr9	47377770	47382770	PAN027Pat_iPSC	1519	1622	3141	70	9	13671	28269	630	45000	137	527	527	9351	395829	9	0	0	0.010021	0.004846	0.836508	0.207800	8.796200
chr9	47782770	47787770	PAN027Pat_iPSC	1530	1623	3153	64	5	7650	15765	320	25000	191	309	309	5935	125095	5	0	0	0.024967	0.012115	0.965625	0.237400	5.003800
chr9	47022770	47027770	PAN027Pat_iPSC	1510	1625	3135	65	8	12080	25080	520	40000	344	408	408	23904	313080	8	0	0	0.028477	0.013716	0.784615	0.597600	7.827000
chr9	45322770	45327770	PAN027Pat_iPSC	1519	1609	3128	65	5	7595	15640	325	25000	214	289	289	10245	142400	5	0	0	0.028176	0.013683	0.889231	0.409800	5.696000
chr9	46067770	46072770	PAN027Pat_iPSC	1508	1621	3129	70	8	12064	25032	560	40000	868	456	456	42368	298704	8	0	0	0.071950	0.034676	0.814286	1.059200	7.467600
chr9	46472770	46477770	PAN027Pat_iPSC	1505	1625	3130	71	6	9030	18780	426	30000	212	312	312	11076	145476	6	0	0	0.023477	0.011289	0.732394	0.369200	4.849200
chr9	46032770	46037770	PAN027Pat_iPSC	1519	1616	3135	67	2	3038	6270	134	10000	371	134	134	7702	32234	2	0	0	0.122120	0.059171	1.000000	0.770200	3.223400
chr9	47182770	47187770	PAN027Pat_iPSC	1480	1634	3114	73	8	11840	24912	584	40000	431	558	558	21776	311720	8	0	0	0.036402	0.017301	0.955479	0.544400	7.793000
chr9	45482770	45487770	PAN027Pat_iPSC	1506	1624	3130	67	3	4518	9390	201	15000	368	196	196	8178	74328	3	0	0	0.081452	0.039191	0.975124	0.545200	4.955200
chr9	46737770	46742770	PAN027Pat_iPSC	1515	1619	3134	71	1	1515	3134	71	5000	40	64	64	586	9619	1	0	0	0.026403	0.012763	0.901408	0.117200	1.923800
chr9	47887770	47892770	PAN027Pat_iPSC	1519	1611	3130	70	4	6076	12520	280	20000	97	270	270	3172	95520	4	0	0	0.015964	0.007748	0.964286	0.158600	4.776000
chr9	47447770	47452770	PAN027Pat_iPSC	1475	1644	3119	63	6	8850	18714	378	30000	495	325	325	18960	184026	6	0	0	0.055932	0.026451	0.859788	0.632000	6.134200
chr9	47852770	47857770	PAN027Pat_iPSC	1513	1632	3145	67	8	12104	25160	536	40000	206	518	518	9584	325152	8	0	0	0.017019	0.008188	0.966418	0.239600	8.128800
chr9	47297770	47302770	PAN027Pat_iPSC	1511	1626	3137	68	4	6044	12548	272	20000	84	257	257	1804	79744	4	0	0	0.013898	0.006694	0.944853	0.090200	3.987200
chr9	45587770	45592770	PAN027Pat_iPSC	1503	1612	3115	65	3	4509	9345	195	15000	66	191	191	4908	46698	3	0	0	0.014637	0.007063	0.979487	0.327200	3.113200
chr9	45992770	45997770	PAN027Pat_iPSC	1514	1621	3135	66	4	6056	12540	264	20000	576	210	210	17416	82456	4	0	0	0.095112	0.045933	0.795455	0.870800	4.122800
chr9	46102770	46107770	PAN027Pat_iPSC	1515	1624	3139	65	5	7575	15695	325	25000	298	278	278	9975	153485	5	0	0	0.039340	0.018987	0.855385	0.399000	6.139400
chr9	47252770	47257770	PAN027Pat_iPSC	1509	1615	3124	76	6	9054	18744	456	30000	183	433	433	7794	192612	6	0	0	0.020212	0.009763	0.949561	0.259800	6.420400
chr9	45552770	45557770	PAN027Pat_iPSC	1524	1620	3144	71	4	6096	12576	284	20000	64	257	257	1452	92440	4	0	0	0.010499	0.005089	0.904930	0.072600	4.622000
chr9	46807770	46812770	PAN027Pat_iPSC	1513	1616	3129	73	6	9078	18774	438	30000	242	410	410	11244	178824	6	0	0	0.026658	0.012890	0.936073	0.374800	5.960800
chr9	46262770	46267770	PAN027Pat_iPSC	1506	1615	3121	72	9	13554	28089	648	45000	565	546	545	39564	424080	8	1	0	0.041685	0.020115	0.841049	0.879200	9.424000
chr9	47517770	47522770	PAN027Pat_iPSC	1525	1616	3141	65	2	3050	6282	130	10000	101	108	108	2282	40118	2	0	0	0.033115	0.016078	0.830769	0.228200	4.011800
chr9	45817770	45822770	PAN027Pat_iPSC	1505	1624	3129	70	2	3010	6258	140	10000	213	134	133	3408	37266	1	1	0	0.070764	0.034036	0.950000	0.340800	3.726600
chr9	47922770	47927770	PAN027Pat_iPSC	1507	1610	3117	65	9	13563	28053	585	45000	630	539	539	53406	487701	9	0	0	0.046450	0.022457	0.921368	1.186800	10.837800
chr9	46967770	46972770	PAN027Pat_iPSC	1510	1617	3127	71	9	13590	28143	639	45000	331	608	608	27387	376227	9	0	0	0.024356	0.011761	0.951487	0.608600	8.360600
chr9	47677770	47682770	PAN027Pat_iPSC	1512	1624	3136	69	4	6048	12544	276	20000	58	272	272	2568	99424	4	0	0	0.009590	0.004624	0.985507	0.128400	4.971200
chr9	45217770	45222770	PAN027Pat_iPSC	1528	1600	3128	67	5	7640	15640	335	25000	114	330	329	9955	204245	4	1	0	0.014921	0.007289	0.982090	0.398200	8.169800
chr9	45622770	45627770	PAN027Pat_iPSC	1514	1610	3124	66	5	7570	15620	330	25000	321	318	318	14830	150730	5	0	0	0.042404	0.020551	0.963636	0.593200	6.029200
chr9	46367770	46372770	PAN027Pat_iPSC	1511	1624	3135	75	7	10577	21945	525	35000	242	502	502	17514	360962	7	0	0	0.022880	0.011028	0.956190	0.500400	10.313200
chr9	46772770	46777770	PAN027Pat_iPSC	1508	1612	3120	76	5	7540	15600	380	25000	486	374	374	14290	142850	5	0	0	0.064456	0.031154	0.984211	0.571600	5.714000
chr9	46332770	46337770	PAN027Pat_iPSC	1500	1621	3121	67	3	4500	9363	201	15000	177	171	171	5154	58899	3	0	0	0.039333	0.018904	0.850746	0.343600	3.926600
chr9	47077770	47082770	PAN027Pat_iPSC	1502	1623	3125	69	13	19526	40625	897	65000	448	831	831	39988	839969	13	0	0	0.022944	0.011028	0.926421	0.615200	12.922600
chr9	45377770	45382770	PAN027Pat_iPSC	1514	1624	3138	65	5	7570	15690	325	25000	387	278	278	15195	125470	5	0	0	0.051123	0.024665	0.855385	0.607800	5.018800
chr9	47482770	47487770	PAN027Pat_iPSC	1515	1620	3135	66	7	10605	21945	462	35000	391	425	425	14084	288806	7	0	0	0.036869	0.017817	0.919913	0.402400	8.251600
chr9	45782770	45787770	PAN027Pat_iPSC	1519	1625	3144	65	8	12152	25152	520	40000	286	459	459	17080	349016	8	0	0	0.023535	0.011371	0.882692	0.427000	8.725400
chr9	47042770	47047770	PAN027Pat_iPSC	1516	1618	3134	69	8	12128	25072	552	40000	396	451	451	21832	272920	8	0	0	0.032652	0.015795	0.817029	0.545800	6.823000
chr9	46087770	46092770	PAN027Pat_iPSC	1501	1624	3125	67	6	9006	18750	402	30000	707	349	349	33660	169740	6	0	0	0.078503	0.037707	0.868159	1.122000	5.658000
chr9	46492770	46497770	PAN027Pat_iPSC	1507	1613	3120	72	5	7535	15600	360	25000	510	336	336	24135	155815	5	0	0	0.067684	0.032692	0.933333	0.965400	6.232600
chr9	47747770	47752770	PAN027Pat_iPSC	1522	1628	3150	66	2	3044	6300	132	10000	219	93	93	4638	31302	2	0	0	0.071945	0.034762	0.704545	0.463800	3.130200
chr9	45997770	46002770	PAN027Pat_iPSC	1517	1629	3146	67	6	9102	18876	402	30000	833	350	350	27096	165864	6	0	0	0.091518	0.044130	0.870647	0.903200	5.528800
chr9	47597770	47602770	PAN027Pat_iPSC	1520	1631	3151	64	6	9120	18906	384	30000	258	331	331	14430	215322	6	0	0	0.028289	0.013646	0.861979	0.481000	7.177400
chr9	45897770	45902770	PAN027Pat_iPSC	1497	1628	3125	67	5	7485	15625	335	25000	180	327	327	5550	125045	5	0	0	0.024048	0.011520	0.976119	0.222000	5.001800
chr9	47307770	47312770	PAN027Pat_iPSC	1498	1635	3133	70	4	5992	12532	280	20000	75	276	276	2956	101680	4	0	0	0.012517	0.005985	0.985714	0.147800	5.084000
chr9	47712770	47717770	PAN027Pat_iPSC	1521	1614	3135	69	8	12168	25080	552	40000	294	540	540	15752	322432	8	0	0	0.024162	0.011722	0.978261	0.393800	8.060800
chr9	46402770	46407770	PAN027Pat_iPSC	1512	1618	3130	69	3	4536	9390	207	15000	72	201	201	1929	64080	3	0	0	0.015873	0.007668	0.971014	0.128600	4.272000
chr9	45447770	45452770	PAN027Pat_iPSC	1503	1625	3128	69	9	13527	28152	621	45000	279	520	520	22662	369126	9	0	0	0.020625	0.009910	0.837359	0.503600	8.202800
